Address,manually labeled proxy(yes/no),detection(yes/no)
0xa64cf4fc6003f34de14e19abdde85830a3266ee6,yes,yes
0xcc572773f1b14580f654e3d6a6759d7a5e8147d3,yes,yes
0xc9f24fdcb53b5aaec60da153c4c83f18f42da031,yes,yes
0xc6eca979b0d17c348055733bb84e94f5c655cd52,yes,yes
0xbdc6b0a1bd003eb9b6c72f5103e96466faa16739,yes,yes
0xaf6419a2c9997d7e6fed001695822d5c1101b08d,yes,yes
0xae8dc65a012970345ecb5ff05479b2f3014d2090,yes,yes
0xaa03f14f557b5310f616fae406b055399f982f28,yes,yes
0xd475b83c3af988e03207cd43997566686a812d7e,yes,yes
0xd714d91a169127e11d8fab3665d72e8b7ef9dbe2,yes,yes
0xd7800a3c48edd22f71e9a96926f627e41dd57dd8,yes,yes
0xda3a932599abf754a9045a2c0013d323f1e1038a,yes,yes
0xdf7d362d1e3e5db29c0b0a1ae75064523c2b2d9f,yes,yes
0xe373290c4724ad49a8119ea959dcd9f434b245b1,yes,yes
0xe24bef4101317acb870c3ef3d4a1e739fdcf6232,yes,yes
0xec981587604e4f87be73b2c159272d5e39d9dfd5,yes,yes
0xf644f1341eb9bfa37003b2be2db39e2386b66053,yes,yes
0xf5652c49150560d1e60385aef4ff3380fdfb25c8,yes,yes
0xff5f5404e183c486ffe11217f8054456ad6f9be7,yes,yes
0x0a4f4e92c3334821ebb523324d09e321a6b0d8ec,yes,yes
0x0bfec35a1a3550deed3f6fc76dde7fc412729a91,yes,yes
0x01bc34a296013cbda3faf3b7328f3675d08f04c2,yes,yes
0x1c1fd689103bbfd701b3b7d41a3807f12814033d,yes,yes
0x1d45a6454484f2fd2c01fd803b9fa65f85a31afe,yes,yes
0x2a3bff78b79a009976eea096a51a948a3dc00e34,yes,yes
0x2b5455aac8d64c14786c3a29858e43b5945819c0,yes,yes
0x2bb864cdb4856ab2d148c5ca52dd7ccec126d138,yes,yes
0x3a75b1772a67bf227312383071829853d29c7925,yes,yes
0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,yes,yes
0x3b823864cd0cbad8a1f2b65d4807906775becaa7,yes,yes
0x03f34be1bf910116595db1b11e9d1b2ca5d59659,yes,yes
0x4a84446df3bf431f397a7dc9e6306636c1216554,yes,yes
0x4b92d19c11435614cd49af1b589001b7c08cd4d5,yes,yes
0x4b1844168ab674c97474c6ef4ae47cad7b1c481d,yes,yes
0x4ea2684b087e0b8cb0bfa5d4792b266b17b43f9c,yes,yes
0x4f3e7a4566320b2709fd1986f2e9f84053d3e2a0,yes,yes
0x4fe836b28adc7867290764885b24d3992daee819,yes,yes
0x5db74532743006b82b3515115ca46f506534bc27,yes,yes
0x5dce29e92b1b939f8e8c60dcf15bde82a85be4a9,yes,yes
0x5e7a939f77e5c441e2ba1dc8be5d42020193376d,yes,yes
0x05ec4356e1acd89cc2d16adc7415c8c95e736ac1,yes,yes
0x6a844e11364757535411760c319f352b7cf8e1e0,yes,yes
0x6b33f15360cedbfb8f60539ec828ef52910aca9b,yes,yes
0x6d9cc14a1d36e6ff13fc6efa9e9326fcd12e7903,yes,yes
0x7dd08c5a4ce91cf862223330dd373e36fe94189b,yes,yes
0x7f3edcdd180dbe4819bd98fee8929b5cedb3adeb,yes,yes
0x8a8ffec8f4a0c8c9585da95d9d97e8cd6de273de,yes,yes
0x8c76970747afd5398e958bdfada4cf0b9fca16c4,yes,yes
0x9b4efa18c0c6b4822225b81d150f3518160f8609,yes,yes
0x19a0420b98f9a34b2b9db3bcba35a6fffebb7add,yes,yes
0x19cd3998f106ecc40ee7668c19c47e18b491e8a6,yes,yes
0x28e07714500bc44f3f324e4cfcffb0e9358ec41c,yes,yes
0x53c8e199eb2cb7c01543c137078a038937a68e40,yes,yes
0x55d9163c77b42a2fa80f912eaef3effab8b9a2f2,yes,yes
0x62cc514824b080707ffc0b0f64f992f38b974f9d,yes,yes
0x077eef823c94c680f3cc376db9cebcf610142bf6,yes,yes
0x86d832cb87e2a586c6ae855b9a4af22de1d5bae3,yes,yes
0x92fd572889af5d0ec0df7fb4c8ce4b95edc50aad,yes,yes
0x343a1cae36b1ca047b24fc2780869dc2c1b84137,yes,yes
0x375ad9a4415d2ec6467000836e3086f53159f2cc,yes,yes
0x375c48a3a3685d7e28eb45e612da6dd51c7e38e0,yes,yes
