proxy,tx,alt_impl,impl,,buggy?
0x07150e919b4de5fd6a63de1f9384828396f25fdc,0xd3c0d062c86db097d7a9564584c52252812ea9bbc2791afc6760c7cb9df54dc9,0x86e164258d73408527eff21694ad67696ccf9681,0xc1a6a5d5e772869c30e96969c01e0a0f0505f08e,,TN
0x3d5bc3c8d13dcb8bf317092d84783c2697ae9258,0xdc39995a0b59df54476e3e06de0e6bdebeee9bbaee41c74f8250d59ad3432bf8,0xb036141f1b6b317147784186c93979310164df27,0x44a420700aac02c1f10b16152f93acb3aadff193,,TN
0xc7fd8dcee4697ceef5a2fd4608a7bd6a94c77480,0x638dab5646809963388b26d72f4136d282c81549268ff2f1bc737ceaaf5e3d74,0x3c710b981f5ef28da1807ce7ed3f2a28580e0754,0x0a7d7cf778ca3b0aa83136c228c1d8805861b20f,,TN
0x15874d65e649880c2614e7a480cb7c9a55787ff6,0x58d09d0b260d66f7045fe14ea6f631aafa7c235306e5d747b7dff3b6c8ae07f8,0x56a3df85b1456a7050ba1f5e1634c63bc3c6e4e2,0x284c2bed39bfd462ce65edd2d86725849a953bb4,,TN
0xd46ba6d942050d489dbd938a2c909a5d5039a161,0x006daf6c88ceb1fa04f51acc72f4aa15f0c4d84719bce95d3937808f2adba0db,0xbd79ad7e14f42b714590a3a8f045ab8084507a0c,0x3222a6c3fd5927437c9e5f4c9eb5c98b22bcde48,,TN
0x39795344cbcc76cc3fb94b9d1b15c23c2070c66d,0x39deabb92427ef615d1122350647692c1af3c3ed27b8b8e26bc3899c6ac13597,0xa5f04949bd6713f007006edacd9b4bab314654ea,0xec3401c1d7b022a47718ae668d6a81b3b38a9b50,,TN
0xd291e7a03283640fdc51b121ac401383a46cc623,0xde2310cc8d759571bd0af86e56daa0695ede3d8d12da33718b50e66c8c93af26,0xf00d7dd883ca85cc39f89d077e563fbcafaf3117,0xf727c8cc07c7b78079409002d851dc542dc8e2c1,,TN
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x035d274f408212a2cfc958124ae211ed45d142b46f4d43d6931388fa2eb14a03,0x17144556fd3424edc8fc8a4c940b2d04936d17eb,0xc7b5af82b05eb3b64f12241b04b2cf14469e39f7,,TN
0xab6777a4df5f4434cabdb42ebd6e116c757f7f0c,0x89084d8121effc9b00de66f293974dbdd8f22950bf065ec64123439cd8c19a29,0xd72f17676a0186da1ff7134dcd0c73dc01ac8dd4,0xc0b78af07f93b4ce57524b27b8c837c5f9aab2e4,,TN
0x3abedba3052845ce3f57818032bfa747cded3fca,0x8583ecf2cbef267f6d614cbcb4f4cd38b98b57fb300667cb9694adfaa1f7ee30,0x37c98b188d51eef5e3753a67090933bf2de90d13,0x4179d5ecdfc2c794e038ebdb2b14d88a4554a77d,,TN
0x0000000000085d4780b73119b644ae5ecd22b376,0x64e8b36db4e1bb3c796b3fad02a3491dd7694121dd414c2ce814f6c66c92f0eb,0x7a9701453249e84fd0d5afe5951e9cbe9ed2e90f,0xcb9a11afdc6bdb92e4a6235959455f28758b34ba,,TN
0x0000000000085d4780b73119b644ae5ecd22b376,0xfab8e070f3bb5abf4581ed1afd3103f746df8a9b6f5c1430bf887afd8bc26616,0xffc40f39806f1400d8278bfd33823705b5a4c196,0xcb9a11afdc6bdb92e4a6235959455f28758b34ba,,TN
0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0,0x5629d9f342777802a5a664b7153acc0f833984e988e551cbb747bbf8624a6443,0xf98624e9924caa2cbd21cc6288215ec2ef7cfe80,0xddb59729045d2292eeb8ff96c46b8db53b88daa2,,TN
0xe91d7cebce484070fc70777cb04f7e2efae31db4,0x682d72a15c064d16e552392868c25911c2073b27fa4ff631d9c09378c4152bb5,0xa0f93f78196ec401daf26ed0fb55f136d0b3f9d6,0xff9df185916d79eb84c3c3e6be79e90d2814bd41,,FN
0x41c84c0e2ee0b740cf0d31f63f3b6f627dc6b393,0xb2f1156c9da9e02bc8b774dc784edd8053e815be84116323fd5c3b873894ee34,0x9be7b5b7e219461f164863dad045a35d1101aa64,0x1a9e503562ce800ea8e68e2cf0cfa0aec2edb509,,TN
0xd46ba6d942050d489dbd938a2c909a5d5039a161,0x059b4204f21dfbb33250ffd433d7979ff8d7703bac1e6dac6053762b77e7861a,0xf9e6a96229140195777a1c3ab47c9bf16f055406,0x3222a6c3fd5927437c9e5f4c9eb5c98b22bcde48,,TN
0x0000000000085d4780b73119b644ae5ecd22b376,0x97b62f9adc0ee2af8af463bd3a491d237c18f475661991702ec19eb8c2afdd87,0x7a9701453249e84fd0d5afe5951e9cbe9ed2e90f,0x20594f0b1f549d19b5dd81590d93bd131c657e01,,TN
0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0xc43586d63d98b804529de519333e98815a47990d7ac317401d204975ee2d43fa,0x234b619b4f4e405665f7d94f2ce60c24256032b5,0xf592ef673057a451c49c9433e278c5d59b56132c,,TN
0xcc4304a31d09258b0029ea7fe63d032f52e44efe,0x08bd321688334ea4534c7a77bf1750f5714d72515857cfd29e394f3111574c2d,0xb9f45edeffe5abd7a1a1dffc65068a065b98524d,0xfeeedb5a23e650a6f9a88d1a5941f05453df6703,,TN
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xbb51789e4534b6edae7921a08f868b3c0c3c0751a003571d2b9828247e5a8cf5,0xc13eac3b4f9eed480045113b7af00f7b5655ece8,0xea86074fdac85e6a605cd418668c63d2716cdfbc,,TN
0x5fdcca53617f4d2b9134b29090c87d01058e27e9,0xc346adca585b8462c7afe5ad46388c9327ada416a11624587efd96d91ea7e67c,0x97aa9658cfe27d6382b71ff9e72d773615bd529e,0x49401ddc4e0a858b5b4cf3d6de38393b7fac7378,,TN
0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5,0x8a9436304d2d95a04e2f1e5344695bfa962d6044c830b0f5832e20d6ecd4dac4,0xfa99804a8a78173f9b51d300d5b7005d187134bb,0x981b73f65c5f9abb6da88ae2bb0a536d85c486b7,,TN
0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0xe4c4d51b7fcacb4e592df31e5046d3922a03c0f8c293583e0287d7f4fabdd383,0x75442ac771a7243433e033f3f8eab2631e22938f,0x97bd4cc841fc999194174cd1803c543247a014fe,,TN
0xcc4304a31d09258b0029ea7fe63d032f52e44efe,0x4242d9aadb2d64cf6b13705366353b62bd7ac5f13f13d569a1c9ab2255ba479d,0x907c6d5bf04dc6f2cc34ceb649adb18bf356eebe,0xfeeedb5a23e650a6f9a88d1a5941f05453df6703,,TN
0xcc4304a31d09258b0029ea7fe63d032f52e44efe,0xc0536d1e4993d283c16b0877a5a3375eb537191fe327d013c5b3293e70b8de01,0x907c6d5bf04dc6f2cc34ceb649adb18bf356eebe,0xb9f45edeffe5abd7a1a1dffc65068a065b98524d,,TN
0x85759961b116f1d36fd697855c57a6ae40793d9b,0xd02e4e6c7b45552cc54760b8d94d31f249d1d180036540e7396dc7558075637e,0x852dc31074d42beb1ee8fba7829cb5bd4d68aaf3,0xc9d8a3b9c39b71969280fc249c87b5d0cb77f3c9,,TN
0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5,0x58ea3adbbfa26a08a831a92ab3bf620b320b483048a707eeb2e2bdb5467e15e6,0xfa99804a8a78173f9b51d300d5b7005d187134bb,0xc02f808e459cc63fdc0a3a9b7405d6e2f9aa8f02,,TN
0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0xe562024efa8c011b312be256440f7dabd3d0ee2304010c2d1fe723f4b8f33d07,0x374abb8ce19a73f2c4efad642bda76c797f19233,0x7b5e3521a049c8ff88e6349f33044c6cc33c113c,,TN
0xabea9132b05a70803a4e85094fd0e1800777fbef,0x2de52c97f0cba02e00c922f7d82b78266ce66718c0f13b3ceec099a9e1304c6d,0x59a5e7c08be8356193cd9f92ca8ac95c42ab0bdd,0xd61dff4b146e8e6bdcdad5c48e72d0ba85d94dbc,,TN
0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0xf5ede68db3ecb23e65ff0624983a4d2f157d559b17467a730750c466cd72bf10,0x374abb8ce19a73f2c4efad642bda76c797f19233,0xf592ef673057a451c49c9433e278c5d59b56132c,,TN
